Country,GDP,TEMP,PRECIP,MORTALITY,
Burkina Faso,787,28.29,748,7.5,
Mali,887,28.25,282,8.3,
Djibouti,3252,28,220,7.08,
Tuvalu,4036,28,3200,7.9,
Senegal,1452,27.85,686,5,
Mauritania,1678,27.65,92,7.33,
Maldives,10626,27.65,1972,4.2,
Benin,1220,27.55,1039,7.82,
Ghana,2203,27.2,1187,5.99,
Bahrain,23504,27.15,83,2.83,
Niger,555,27.15,151,9.66,
Qatar,64782,27.15,74,1.42,
Seychelles,17382,27.15,2330,6.9,
Togo,899,27.15,1168,5.16,
Somalia,105,27.05,282,11.43,
United Arab Emirates,43103,27,78,1.62,
Sri Lanka,3940,26.95,1712,6.54,
Sudan,815,26.9,250,6.19,
Brunei,31086,26.85,2722,3.85,
Cambodia,1644,26.8,1904,5.7,
Nigeria,2361,26.8,1150,8.52,
Saint Vincent and the Grenadines,7464,26.8,1583,7.58,
Guinea-Bissau,688,26.75,1577,7.32,
Samoa,4285,26.7,2880,5.38,
Chad,707,26.55,322,9.21,
Singapore,64103,26.45,2497,4.15,
Thailand,7785,26.3,1622,7.86,
Sierra Leone,528,26.05,2526,9.14,
Antigua and Barbuda,17113,26,1030,5.69,
Barbados,18149,26,1422,8.03,
Guyana,6610,26,2387,6.95,
Indonesia,4136,25.85,2702,6.77,
Philippines,3324,25.85,2348,6.32,
Trinidad and Tobago,16637,25.75,2200,8.48,
Guinea,967,25.7,1651,7.97,
Suriname,6360,25.7,2331,6.63,
Solomon Islands,1945,25.65,3028,3.95,
Oman,15343,25.6,125,3.21,
Comoros,1370,25.55,900,6.49,
Eritrea,567,25.5,384,6.6,
Saint Lucia,11611,25.5,2301,8.17,
Malaysia,11414,25.4,2875,5.72,
Panama,15728,25.4,2928,5.88,
Belize,4884,25.3,1705,3.89,
Kuwait,31999,25.35,121,2.27,
Venezuela,4733,25.35,2044,6.55,
Liberia,523,25.3,2391,6.46,
Papua New Guinea,2845,25.25,3142,5.48,
Cuba,9296,25.2,1335,9.37,
Gabon,7773,25.05,1831,5.59,
Bangladesh,1846,25,2666,5.5,
Brazil,8755,24.95,1761,6.9,
Jamaica,5369,24.95,2051,7.44,
