Country,GDP_growth,TEMP,PRECIP,MORTALITY,INCOME
Burkina Faso,0.01 ,28.29 ,748.00 ,7.50 ,0.00 
Senegal,(0.01),27.85 ,686.00 ,5.00 ,0.00 
Mauritania,0.01 ,27.65 ,92.00 ,7.33 ,0.00 
Benin,0.01 ,27.55 ,1039.00 ,7.82 ,0.00 
Ghana,(0.01),27.20 ,1187.00 ,5.99 ,0.00 
Seychelles,0.03 ,27.15 ,2330.00 ,6.90 ,1.00 
Togo,0.02 ,27.15 ,1168.00 ,5.16 ,0.00 
Sudan,0.00 ,26.90 ,250.00 ,6.19 ,0.00 
Nigeria,0.00 ,26.80 ,1150.00 ,8.52 ,0.00 
Chad,(0.01),26.55 ,322.00 ,9.21 ,0.00 
Singapore,0.06 ,26.45 ,2497.00 ,4.15 ,1.00 
Thailand,0.05 ,26.30 ,1622.00 ,7.86 ,0.00 
Sierra Leone,0.00 ,26.05 ,2526.00 ,9.14 ,0.00 
Guyana,0.00 ,26.00 ,2387.00 ,6.95 ,1.00 
Indonesia,0.03 ,25.85 ,2702.00 ,6.77 ,0.00 
Philippines,0.01 ,25.85 ,2348.00 ,6.32 ,0.00 
Trinidad and Tobago,0.01 ,25.75 ,2200.00 ,8.48 ,1.00 
Malaysia,0.04 ,25.40 ,2875.00 ,5.72 ,0.00 
Panama,0.02 ,25.40 ,2928.00 ,5.88 ,1.00 
Belize,0.03 ,25.30 ,1705.00 ,3.89 ,0.00 
Liberia,(0.04),25.30 ,2391.00 ,6.46 ,0.00 
Papua New Guinea,0.01 ,25.25 ,3142.00 ,5.48 ,0.00 
Gabon,0.03 ,25.05 ,1831.00 ,5.59 ,1.00 
Bangladesh,0.00 ,25.00 ,2666.00 ,5.50 ,0.00 
Brazil,0.03 ,24.95 ,1761.00 ,6.90 ,1.00 
Central African Republic,(0.01),24.90 ,1343.00 ,11.51 ,0.00 
Nicaragua,(0.01),24.90 ,2280.00 ,5.19 ,1.00 
Costa Rica,0.02 ,24.80 ,2926.00 ,4.97 ,1.00 
Kenya,0.02 ,24.75 ,630.00 ,4.95 ,0.00 
Cameroon,0.01 ,24.60 ,1604.00 ,7.54 ,0.00 
Dominican Republic,0.02 ,24.55 ,1410.00 ,6.31 ,0.00 
Colombia,0.02 ,24.50 ,3240.00 ,7.84 ,1.00 
Fiji,0.02 ,24.40 ,2592.00 ,6.44 ,1.00 
India,0.02 ,23.65 ,1083.00 ,9.65 ,0.00 
Paraguay,0.03 ,23.55 ,1130.00 ,4.90 ,0.00 
Honduras,0.01 ,23.50 ,1976.00 ,4.69 ,0.00 
Guatemala,0.01 ,23.45 ,1996.00 ,4.89 ,0.00 
Madagascar,(0.01),22.65 ,1513.00 ,5.92 ,0.00 
Egypt,0.03 ,22.10 ,18.00 ,4.32 ,0.00 
Malawi,0.01 ,21.90 ,1181.00 ,4.51 ,0.00 
Ecuador,0.02 ,21.85 ,2274.00 ,5.18 ,1.00 
Australia,0.02 ,21.65 ,534.00 ,6.76 ,1.00 
Bolivia,0.00 ,21.55 ,1146.00 ,4.33 ,0.00 
Botswana,0.08 ,21.50 ,416.00 ,8.98 ,0.00 
Mexico,0.02 ,21.00 ,758.00 ,7.07 ,1.00 
Pakistan,0.03 ,21.00 ,494.00 ,5.94 ,0.00 
Burundi,0.01 ,20.80 ,1274.00 ,5.85 ,0.00 
Peru,0.00 ,20.60 ,1738.00 ,11.04 ,1.00 
Israel,0.03 ,20.20 ,435.00 ,5.05 ,1.00 
Rwanda,0.00 ,18.85 ,1212.00 ,5.77 ,0.00 
Algeria,0.01 ,18.79 ,89.00 ,4.33 ,1.00 
Uruguay,0.01 ,18.55 ,1300.00 ,9.12 ,1.00 
Iran,0.01 ,18.25 ,228.00 ,5.20 ,1.00 
Portugal,0.04 ,15.15 ,854.00 ,10.90 ,1.00 
Argentina,0.00 ,14.80 ,591.00 ,7.28 ,1.00 
Greece,0.04 ,14.44 ,652.00 ,12.02 ,1.00 
Italy,0.04 ,13.45 ,832.00 ,11.27 ,1.00 
Spain,0.04 ,13.30 ,636.00 ,10.11 ,1.00 
Myanmar,0.01 ,13.05 ,2091.00 ,7.14 ,0.00 
Lesotho,0.03 ,11.85 ,788.00 ,10.90 ,0.00 
"Korea, South",0.08 ,11.50 ,1274.00 ,7.28 ,0.00 
Japan,0.05 ,11.15 ,1668.00 ,11.74 ,1.00 
France,0.03 ,10.70 ,867.00 ,9.51 ,1.00 
Turkey,0.03 ,9.90 ,593.00 ,6.09 ,1.00 
Belgium,0.03 ,9.55 ,847.00 ,9.57 ,1.00 
Netherlands,0.03 ,9.25 ,778.00 ,9.27 ,1.00 
Luxembourg,0.03 ,8.65 ,934.00 ,7.17 ,1.00 
United States,0.03 ,8.55 ,715.00 ,8.42 ,1.00 
Chile,0.02 ,8.45 ,1522.00 ,6.58 ,1.00 
United Kingdom,0.02 ,8.45 ,1220.00 ,9.12 ,1.00 
  Nepal,0.01 ,8.10 ,1500.00 ,5.59 ,0.00 
China,0.05 ,6.95 ,645.00 ,7.82 ,0.00 
Austria,0.03 ,6.35 ,1110.00 ,9.86 ,1.00 
Denmark,0.03 ,2.70 ,703.00 ,9.55 ,1.00 
Sweden,0.02 ,2.10 ,624.00 ,9.50 ,1.00 
Iceland,0.03 ,1.75 ,1940.00 ,6.57 ,1.00 
Finland,0.03 ,1.70 ,536.00 ,10.37 ,1.00 
Norway,0.03 ,1.50 ,1414.00 ,7.93 ,1.00 
