Year,Month,Value
1999 ,1 ,441.0 
1999 ,2 ,436.3 
1999 ,3 ,452.3 
1999 ,4 ,453.5 
1999 ,5 ,455.0 
1999 ,6 ,467.0 
1999 ,7 ,477.9 
1999 ,8 ,481.0 
1999 ,9 ,473.1 
1999 ,10 ,470.3 
1999 ,11 ,461.0 
1999 ,12 ,446.0 
2000 ,1 ,443.0 
2000 ,2 ,442.4 
2000 ,3 ,452.2 
2000 ,4 ,453.9 
2000 ,5 ,463.7 
2000 ,6 ,468.0 
2000 ,7 ,475.1 
2000 ,8 ,477.5 
2000 ,9 ,481.2 
2000 ,10 ,463.8 
2000 ,11 ,454.5 
2000 ,12 ,449.7 
2001 ,1 ,451.6 
2001 ,2 ,443.0 
2001 ,3 ,449.2 
2001 ,4 ,453.2 
2001 ,5 ,462.1 
2001 ,6 ,469.6 
2001 ,7 ,475.5 
2001 ,8 ,481.9 
2001 ,9 ,481.4 
2001 ,10 ,471.7 
2001 ,11 ,450.3 
2001 ,12 ,441.5 
2002 ,1 ,441.2 
2002 ,2 ,440.9 
2002 ,3 ,446.6 
2002 ,4 ,457.3 
2002 ,5 ,467.1 
2002 ,6 ,473.1 
2002 ,7 ,482.8 
2002 ,8 ,480.8 
2002 ,9 ,477.8 
2002 ,10 ,465.7 
2002 ,11 ,451.4 
2002 ,12 ,450.1 
2003 ,1 ,440.2 
2003 ,2 ,448.6 
2003 ,3 ,447.9 
2003 ,4 ,452.5 
2003 ,5 ,464.7 
2003 ,6 ,473.6 
2003 ,7 ,478.9 
2003 ,8 ,481.6 
2003 ,9 ,477.4 
2003 ,10 ,471.3 
2003 ,11 ,461.5 
2003 ,12 ,444.8 
2004 ,1 ,446.4 
2004 ,2 ,443.7 
2004 ,3 ,448.8 
2004 ,4 ,454.5 
2004 ,5 ,468.9 
2004 ,6 ,469.1 
2004 ,7 ,483.9 
2004 ,8 ,487.7 
2004 ,9 ,479.3 
2004 ,10 ,466.0 
2004 ,11 ,459.4 
2004 ,12 ,451.2 
