"","country","time","GDP","TEMP"
"1","AFG","2002",1.457,23196.0208
"2","AFG","2003",0.71,23411.05467
"3","AFG","2004",1.482,22826.42102
"4","AFG","2005",0.513,24497.74277
"5","AFG","2006",1.838,24763.54039
"6","AFG","2007",0.794,27686.47582
"7","AFG","2008",0.808,28202.76062
"8","AFG","2009",0.948,33037.71056
"9","AFG","2010",1.664,36704.63872
"10","AFG","2011",1.455,35525.91905
"11","AFG","2012",0.271,38455.79284
"12","AFG","2013",1.345,39225.87861
"13","AFG","2014",0.521,38847.42603
"14","AFG","2015",1.204,38200.06614
"15","AFG","2016",1.612,38067.96936
"16","AFG","2017",1.642,37971.43136
"17","AFG","2018",1.624,37330.25466
"18","AFG","2019",0.991,37678.48374
"19","AFG","2020",0.587,35657.15896
"20","AFG","2021",1.475,27467.79994
"21","ALB","1980",-0.422,207060.0819
"22","ALB","1981",-0.346,214614.9766
"23","ALB","1982",0.207,216322.9686
"24","ALB","1983",-0.088,214123.392
"25","ALB","1984",-0.238,207041.2668
"26","ALB","1985",-0.072,206439.6145
"27","ALB","1986",0.6,213901.6954
"28","ALB","1987",-0.078,208020.4761
"29","ALB","1988",0.397,201233.7616
"30","ALB","1989",-0.041,215166.4171
"31","ALB","1990",0.809,191093.8021
"32","ALB","1991",-0.28,138415.316
"33","ALB","1992",0.106,129248.6909
"34","ALB","1993",0.113,142470.7665
"35","ALB","1994",1.36,155250.0547
"36","ALB","1995",-0.137,177023.0922
"37","ALB","1996",0.006,194336.2691
"38","ALB","1997",0.111,174200.8843
"39","ALB","1998",0.821,190778.6843
"40","ALB","1999",0.724,216739.9795
"41","ALB","2000",1.084,233277.2886
"42","ALB","2001",1.551,255005.6617
"43","ALB","2002",0.519,267374.6484
"44","ALB","2003",1.026,283214.4882
"45","ALB","2004",0.472,300084.3563
"46","ALB","2005",0.217,318293.1223
"47","ALB","2006",0.39,339214.2841
"48","ALB","2007",1.389,362237.5341
"49","ALB","2008",1.043,392405.0687
"50","ALB","2009",0.977,408309.7949
"51","ALB","2010",1.261,425553.0599
"52","ALB","2011",1.125,437560.6457
"53","ALB","2012",1.546,444495.4254
"54","ALB","2013",1.394,449772.6278
