,year,wtem,wpre,country,g,region,regyear,dummy_gdp,dev,parent
Albania-1981,1981,12.78579998,12.27425003,Albania,3.596023864,EECA,EECA 1981,0,dev,AL
Albania-1982,1982,13.23007679,10.46518421,Albania,0.997109795,EECA,EECA 1982,0,dev,AL
Albania-1983,1983,12.51611805,10.17477036,Albania,-0.82844258,EECA,EECA 1983,0,dev,AL
Albania-1984,1984,12.67379379,10.93935871,Albania,-3.33338801,EECA,EECA 1984,0,dev,AL
Albania-1985,1985,12.94535065,12.40441895,Albania,-0.508635165,EECA,EECA 1985,0,dev,AL
Albania-1986,1986,13.13859653,9.973684311,Albania,2.939297517,EECA,EECA 1986,0,dev,AL
Albania-1987,1987,13.02187538,10.95752621,Albania,-3.487771238,EECA,EECA 1987,0,dev,AL
Albania-1988,1988,13.10743427,10.64715672,Albania,-3.935331067,EECA,EECA 1988,0,dev,AL
Albania-1989,1989,12.81764221,9.455904961,Albania,7.495147621,EECA,EECA 1989,0,dev,AL
Albania-1990,1990,13.47816849,10.41875267,Albania,-11.07394324,EECA,EECA 1990,0,dev,AL
Albania-1991,1991,12.62912273,11.33518124,Albania,-32.1624284,EECA,EECA 1991,0,dev,AL
Albania-1992,1992,13.39619541,9.268590927,Albania,-6.666254887,EECA,EECA 1992,0,dev,AL
Albania-1993,1993,13.30528545,9.702300072,Albania,10.52420536,EECA,EECA 1993,0,dev,AL
Albania-1994,1994,14.39411163,10.31361961,Albania,10.46246623,EECA,EECA 1994,0,dev,AL
Albania-1995,1995,13.0136404,11.9106102,Albania,9.786512115,EECA,EECA 1995,0,dev,AL
Albania-1996,1996,12.88859653,12.12788296,Albania,9.650634471,EECA,EECA 1996,0,dev,AL
Albania-1997,1997,12.94641495,7.994244576,Albania,-10.07812083,EECA,EECA 1997,0,dev,AL
Albania-1998,1998,13.35025215,9.990517616,Albania,12.37742177,EECA,EECA 1998,0,dev,AL
Albania-1999,1999,13.9987278,12.09588337,Albania,9.834543863,EECA,EECA 1999,0,dev,AL
Albania-2000,2000,14.18946266,9.659666061,Albania,7.091814341,EECA,EECA 2000,0,dev,AL
Albania-2001,2001,13.91646957,10.62543011,Albania,6.616005016,EECA,EECA 2001,0,dev,AL
Albania-2002,2002,13.85600853,11.41749859,Albania,2.49100162,EECA,EECA 2002,0,dev,AL
Albania-2003,2003,14.31934166,11.57956696,Albania,5.023782205,EECA,EECA 2003,0,dev,AL
Algeria-1961,1961,17.21853828,3.944605827,Algeria,-16.51985436,MENA,MENA 1961,0,dev,AG
Algeria-1962,1962,16.64972115,6.195106506,Algeria,-23.75077152,MENA,MENA 1962,0,dev,AG
Algeria-1963,1963,16.65273094,5.951767445,Algeria,27.6360264,MENA,MENA 1963,0,dev,AG
Algeria-1964,1964,16.78935623,5.193435192,Algeria,3.646594598,MENA,MENA 1964,0,dev,AG
Algeria-1965,1965,16.66987228,5.002650738,Algeria,3.747652048,MENA,MENA 1965,0,dev,AG
Algeria-1966,1966,16.7145195,4.113543034,Algeria,-7.465291782,MENA,MENA 1966,0,dev,AG
Algeria-1967,1967,16.65981293,5.604917049,Algeria,6.268248249,MENA,MENA 1967,0,dev,AG
Algeria-1968,1968,16.76997375,4.631793499,Algeria,7.329956218,MENA,MENA 1968,0,dev,AG
Algeria-1969,1969,16.27569008,7.213015556,Algeria,5.102423962,MENA,MENA 1969,0,dev,AG
Algeria-1970,1970,16.47507477,4.725626945,Algeria,5.484139456,MENA,MENA 1970,0,dev,AG
Algeria-1971,1971,16.03186989,5.52642107,Algeria,-15.03433818,MENA,MENA 1971,0,dev,AG
Algeria-1972,1972,15.8034687,6.756998062,Algeria,21.21203824,MENA,MENA 1972,0,dev,AG
