period,msl 
2,70.2
5,72.7
13,61.8
14,63.9
15,63.4
16,67.1
17,73.4
18,79.5
19,76.5
20,79
21,74.8
22,71.2
23,63.8
24,58.9
25,58.5
26,49.6
27,49
28,51.5
29,57.7
30,68.8
31,73
32,73
33,74.7
34,68.2
35,65.9
36,60.8
37,57.3
38,51.4
39,56.7
40,54.3
41,60
42,71.6
43,69.8
44,76.2
45,73.3
46,62.6
47,59.7
48,55.6
49,58.4
50,52.3
51,52.6
52,54
53,67.2
54,70.2
55,67.3
56,78
57,81.1
58,68.6
59,64
60,60.9
61,58.9
62,54.4
63,58.7
64,50.8
65,59.5
66,69.2
67,69.7
68,67.6
69,70.8
70,61.5
71,64.6
72,55.1
73,48.1
74,49.4
75,58.9
76,62.7
77,61.6
78,61.6
79,63.8
80,81.7
81,77
82,65.6
83,45.1
84,53.6
85,47.8
86,47.5
87,48.2
88,51.2
89,61.4
90,71.7
91,75.7
92,71.4
93,84.6
94,74.8
95,64.3
96,59.1
97,52.1
98,44.2
99,43.2
100,49.3
101,58.5
102,60.3
103,69.8
104,75.5
105,74.9
106,66.5
107,55.8
108,60.4
109,57.7
110,51.1
111,52.6
112,56.2
113,68.7
114,73.2
115,71.6
116,68
117,69.3
118,66.4
119,56.9
120,50.2
121,52.6
122,55.3
123,51.7
124,50.4
125,60.8
126,66.3
127,70
128,72.2
129,73.2
130,67
131,60.7
132,54.9
133,56.4
134,52.5
135,49
136,50.4
137,60.9
138,67.3
139,69.2
140,77.2
141,83.7
142,65.5
143,54.2
144,43.1
145,55.6
146,58.6
147,55.7
148,53.6
149,61.6
150,66.7
151,76.5
152,71.7
153,75.7
154,63.1
157,56.1
158,58.5
159,57
160,61.2
161,63.2
162,69.5
163,74
164,72.5
165,73.3
166,69.2
167,61.2
168,55.1
169,64.5
170,60.3
171,52.5
172,58.4
173,66.5
174,75
175,78.7
176,78.4
177,73.2
178,64.7
179,56.8
180,60.5
181,60.3
182,57.5
183,56.7
184,59.4
185,65.2
186,74.9
187,72.9
188,84.2
189,83.8
190,75.2
191,72.3
192,62.7
193,56
194,61.4
195,56
196,62
197,66.7
198,76.1
199,80.4
200,71.3
201,84.5
202,72.4
203,62.1
204,60.4
205,54.7
206,53
207,50.3
208,55.5
209,60.8
210,74.7
211,72
212,81.2
213,78.7
214,69.4
215,62
216,62.5
217,58.3
218,56.9
219,59.4
220,60
221,62.4
222,68.4
223,72.5
224,74.5
225,72.9
226,69.6
227,60.4
228,55.5
229,50.8
230,55.6
231,59.6
232,58.4
233,67.2
234,70.6
235,77.5
236,72.8
237,74.7
238,73.5
239,57
240,55.3
241,57.2
242,43.4
243,49.6
244,52
245,59.3
246,61.6
247,69.8
248,78
249,74.8
250,65.8
251,58.3
252,61.5
253,55.2
254,55.3
255,53.1
256,57.5
257,58.6
258,67
259,67.2
260,74.2
261,74.8
262,66.5
263,59.2
264,55.1
265,51.8
266,50.8
267,52
268,59.3
269,63.9
270,67.2
271,69.6
272,74.9
273,75.5
274,67.8
275,56.3
276,51
277,50.6
278,52.9
279,58.2
280,58.5
281,62.9
282,74
283,74.3
284,77.4
285,81.3
286,67.3
287,57.5
288,56
289,55.5
290,53.2
291,53
292,56.6
293,63.6
294,72.4
295,74
296,74.8
297,70.3
298,69.7
299,64.3
300,59.9
301,52.9
302,57.8
303,51
304,57.1
305,63.9
306,75.2
307,77.9
308,75.4
309,71
310,70.7
311,65.6
312,54.4
313,52.7
314,54.7
315,62
316,60.4
317,62.7
318,70.5
319,75.8
320,80.3
321,77.2
322,69.9
323,58.8
324,67.8
325,62.7
326,59.1
327,58.9
328,58.1
329,63.2
330,70.8
331,74.7
332,77.1
333,77.1
334,68.8
335,63.4
336,62.5
337,54.8
338,54
339,59
340,61.5
341,66.9
342,75
343,79.9
344,79.1
345,80.5
346,75.1
347,62.5
348,55.9
349,58.6
351,60.2
352,62.9
353,67.4
354,73
355,76.3
356,88.5
357,82.1
358,67.4
359,67.8
360,67.2
361,59.8
362,54.2
363,57.9
364,66.6
365,64.1
366,71.9
367,76.8
368,80.5
369,79.9
370,68.7
371,62.7
372,53.6
373,59.5
374,61.4
375,57.4
376,60.7
377,65.2
378,73
379,77.5
380,92.4
381,83.2
382,77.7
383,63.2
384,64.5
385,60.6
386,58.7
387,62.2
388,70.4
389,71.8
390,72
391,72.9
392,81.8
393,82.4
394,80.1
395,67.5
396,61
397,60.2
398,56.4
399,60.7
400,68.4
401,68.4
402,70.9
403,78.2
404,81.7
405,76.3
406,70.4
407,60.2
408,55.3
409,63.9
410,61
411,58.3
412,65.8
413,66.2
414,72.5
415,74.7
416,78.2
417,82.5
418,74.3
419,61.2
420,60
421,60.2
422,65.8
423,62.6
424,63.8
425,68.4
426,74.3
427,69.6
428,66.8
429,71.6
430,68.5
431,57.7
432,65.6
433,60.2
434,53.5
435,55.5
436,57.9
437,68.5
438,73.2
439,73.7
440,78.7
441,76
442,72
443,64.8
444,59.7
445,61.9
446,60.8
447,58.2
448,60.3
449,68.8
450,77.6
451,79.2
452,80
453,79.2
454,64.1
455,66.7
456,65.3
457,63.5
458,62.7
459,64.2
460,63
461,67.6
462,82.6
463,86.5
464,82
465,84.6
466,77.7
467,67.1
468,61.8
469,61.1
470,56.1
471,65.5
472,68.5
473,68
474,74
475,81
476,86
477,84.6
478,81.5
479,74
480,62
481,64.7
482,63.1
483,65.4
484,64.4
485,69
486,72.6
487,76.4
488,78.7
489,87.3
490,69.7
491,65.3
492,64.4
493,68.5
494,58.4
495,64.6
496,62
497,68.9
498,74.8
499,73.6
500,83.6
501,87.3
502,80.9
503,64.6
504,59.5
505,61.2
506,58.6
507,57.7
508,63.5
509,73.7
510,77.7
511,86.2
512,85.9
513,86
514,74.9
515,66.2
516,66.3
517,61.3
518,64.4
519,62.6
520,62.3
521,71.9
522,79.6
523,77.9
524,81.5
525,81.4
526,78.1
527,72.6
528,62.9
529,62.1
530,57.5
531,58.9
532,64.8
533,73.6
534,73.3
535,81.4
536,90.1
537,83
538,74
539,64.3
540,66.3
541,63.9
542,62.5
543,56.8
544,61.4
545,68.8
546,73.3
547,75.2
548,80.1
549,80.5
550,69.1
551,69.8
552,64.5
553,66.1
554,58
555,59.1
556,69.4
557,70.1
558,76.1
559,78.6
560,83.5
561,82.5
562,77.9
563,68
564,64.2
565,61.4
566,58
567,68.6
568,66.5
569,73.2
570,71.7
571,79.8
572,79.9
573,87.5
574,68.9
575,67.8
576,68
577,63
578,58.5
579,62.7
580,67.7
581,74.8
582,78.9
583,77.3
584,82.9
585,76.9
586,72.1
587,66.1
588,62.9
589,61.4
590,65.6
591,60.4
592,66.5
593,70.6
594,77.7
595,80.1
596,85.7
597,87.4
598,73.9
599,70.3
600,77.8
601,66.3
602,70.5
603,65.7
604,69.4
605,76
606,75
608,79.7
609,82.5
610,78.9
611,76.1
612,72.3
613,67
614,67.4
615,62
616,67
617,73.5
618,77.2
619,80.6
620,83.3
621,90.5
622,76.3
623,72
624,67.4
625,68
626,62.8
627,67.1
628,63
629,71.6
630,79.9
631,84.9
632,90.6
633,87.9
634,82.4
635,75.7
637,60.5
638,58.4
639,62.1
640,69
641,75.7
642,76.8
643,75.2
644,77.7
645,75.6
647,65
648,63.1
649,59
650,65.3
652,70.5
653,75.1
654,81.9
655,77.9
656,87.3
657,84.5
658,85.2
659,70.9
660,65.5
662,64.3
663,60.4
664,65.2
665,73.1
666,77.2
667,82.2
668,89.8
669,88.2
670,74.3
671,76.8
672,71.1
673,68.5
674,61.9
675,66.8
676,76.2
677,75.2
678,80.9
679,79.5
680,88.3
682,82.1
683,79.3
684,72.8
685,69.5
686,69.4
687,70.5
690,79.5
691,82.3
692,88.9
693,86
694,81.1
695,66.8
696,59.6
697,63.2
699,59.5
700,64.3
702,76.9
703,81.6
704,89.8
705,83.7
706,77.2
707,69.3
708,71.9
709,71.8
710,65.8
711,70.7
712,71.1
713,75
714,80.9
715,84.9
716,88.7
717,84.7
718,85.1
719,71.5
720,67.5
721,73.6
722,70.4
723,67.9
724,68.7
725,77
726,86.8
727,85.4
728,81.8
729,92
730,83.9
731,68.8
732,68.8
733,70
734,69.8
735,67.4
736,69.3
