region,elec,tax
강남구,4586658 ,3405856 
강동구,1520383 ,651426 
강북구,916168 ,182701 
강서구,2558240 ,774541 
관악구,1710701 ,354752 
광진구,1633402 ,391148 
구로구,1895191 ,425101 
금천구,1613000 ,417418 
노원구,1507251 ,294657 
도봉구,882388 ,200935 
동대문구,1428686 ,384483 
동작구,1289443 ,420049 
마포구,2167127 ,741808 
서대문구,1253577 ,347249 
서초구,3279210 ,1958971 
성동구,2177900 ,530273 
성북구,1444406 ,408127 
송파구,2837243 ,1521933 
양천구,1672960 ,482297 
영등포구,2652172 ,1325272 
용산구,1401975 ,712486 
은평구,1427731 ,342933 
종로구,1746555 ,937810 
중구,2460734 ,1655928 
중랑구,1104107 ,272915 
