year,region,elec,tax
2004 ,강남구,3854417 ,1412089 
2004 ,강동구,1229245 ,260846 
2004 ,강북구,782216 ,123723 
2004 ,강서구,1709045 ,287748 
2004 ,관악구,1377079 ,204876 
2004 ,광진구,1571194 ,179531 
2004 ,구로구,1618118 ,212394 
2004 ,금천구,1143488 ,137666 
2004 ,노원구,1355357 ,213445 
2004 ,도봉구,1030143 ,179334 
2004 ,동대문구,1247732 ,193837 
2004 ,동작구,1018242 ,179083 
2004 ,마포구,1224034 ,285092 
2004 ,서대문구,1048685 ,149389 
2004 ,서초구,2624393 ,773151 
2004 ,성동구,1681264 ,191722 
2004 ,성북구,1190041 ,197600 
2004 ,송파구,2091048 ,626640 
2004 ,양천구,1237700 ,285030 
2004 ,영등포구,2201727 ,566242 
2004 ,용산구,1217282 ,269913 
2004 ,은평구,1094071 ,169220 
2004 ,종로구,1510692 ,442197 
2004 ,중구,2232118 ,690213 
2004 ,중랑구,923043 ,147208 
2005 ,강남구,4144959 ,1452229 
2005 ,강동구,1290605 ,257318 
2005 ,강북구,820332 ,128650 
2005 ,강서구,1799316 ,308977 
2005 ,관악구,1464731 ,196359 
2005 ,광진구,1655756 ,181122 
2005 ,구로구,1745560 ,231958 
2005 ,금천구,1217780 ,154945 
2005 ,노원구,1433715 ,234200 
2005 ,도봉구,1077254 ,147709 
2005 ,동대문구,1314476 ,200195 
2005 ,동작구,1086853 ,202183 
2005 ,마포구,1334113 ,293963 
2005 ,서대문구,1123924 ,170507 
2005 ,서초구,2829623 ,818758 
2005 ,성동구,1754932 ,207415 
2005 ,성북구,1263724 ,236307 
2005 ,송파구,2192187 ,692539 
2005 ,양천구,1305761 ,278147 
2005 ,영등포구,2266030 ,581226 
2005 ,용산구,1313915 ,296730 
2005 ,은평구,1159723 ,173343 
2005 ,종로구,1600886 ,438954 
2005 ,중구,2362660 ,715762 
2005 ,중랑구,964894 ,148167 
2006 ,강남구,4349439 ,1739853 
2006 ,강동구,1322600 ,314023 
2006 ,강북구,856637 ,126432 
2006 ,강서구,1854246 ,338764 
2006 ,관악구,1502941 ,239752 
2006 ,광진구,1695364 ,226275 
2006 ,구로구,1801618 ,278404 
2006 ,금천구,1248566 ,168392 
2006 ,노원구,1466853 ,248747 
2006 ,도봉구,1056958 ,145175 
2006 ,동대문구,1364826 ,223380 
2006 ,동작구,1114172 ,247511 
2006 ,마포구,1409138 ,336761 
2006 ,서대문구,1160198 ,192210 
2006 ,서초구,2963156 ,1001000 
2006 ,성동구,1752944 ,245187 
2006 ,성북구,1346630 ,269554 
2006 ,송파구,2276880 ,639828 
2006 ,양천구,1354837 ,369199 
2006 ,영등포구,2336161 ,622973 
2006 ,용산구,1352597 ,364671 
2006 ,은평구,1154488 ,170768 
2006 ,종로구,1641691 ,447920 
2006 ,중구,2453423 ,782098 
2006 ,중랑구,987873 ,156791 
2007 ,강남구,4533407 ,1786828 
2007 ,강동구,1373897 ,329930 
2007 ,강북구,864417 ,140467 
2007 ,강서구,1837185 ,310055 
2007 ,관악구,1555059 ,229648 
2007 ,광진구,1740070 ,259314 
2007 ,구로구,1884970 ,306271 
2007 ,금천구,1289460 ,189607 
2007 ,노원구,1500043 ,235528 
2007 ,도봉구,1057343 ,151485 
2007 ,동대문구,1391604 ,244901 
2007 ,동작구,1143700 ,251868 
2007 ,마포구,1514955 ,365090 
2007 ,서대문구,1189231 ,198912 
2007 ,서초구,3093236 ,954321 
2007 ,성동구,1754804 ,221260 
2007 ,성북구,1339125 ,245839 
2007 ,송파구,2344553 ,669584 
2007 ,양천구,1409878 ,304550 
2007 ,영등포구,2407154 ,711932 
2007 ,용산구,1377823 ,397742 
2007 ,은평구,1152242 ,173314 
2007 ,종로구,1695079 ,520659 
2007 ,중구,2511080 ,1042374 
2007 ,중랑구,1012499 ,168136 
2008 ,강남구,4710048 ,1904560 
2008 ,강동구,1411363 ,324229 
2008 ,강북구,878910 ,144792 
2008 ,강서구,1835689 ,376326 
