year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
1990,강원,4526.254,567.183,603.319,3355.752,18279299,1561838
1990,경기,15756.859,2506.909,2457.304,10792.646,69166891,5972092
1990,경남,13489.898,1490.415,985.127,11014.356,39848523,2776273
1990,경북,9019.102,965.330,668.305,7385.467,25427954,2736033
1990,광주,1562.328,425.688,359.245,777.395,10909096,1124968
1990,대구,4243.166,947.978,711.655,2583.533,22141545,2293038
1990,대전,1847.100,411.672,388.993,1046.435,13258651,1035986
1990,부산,7341.267,1718.685,1380.134,4242.448,33374783,3803334
1990,서울,16027.052,5182.614,7387.008,3457.430,128022269,10473252
1990,세종,,,,,,
1990,울산,,,,,,794065
1990,인천,5794.948,800.865,508.271,4485.812,24487160,1896801
1990,전남,4390.468,757.194,422.294,3210.980,25868226,2480439
1990,전북,3330.675,683.457,456.168,2191.050,16261164,2046776
1990,제주,545.296,200.685,233.403,111.208,4953039,508746
1990,충남,2677.636,630.200,415.250,1632.186,18072575,1991931
1990,충북,3831.246,446.308,423.897,2961.041,13611652,1373711
1991,강원,5051.168,619.251,677.763,3754.154,18323230,1546504
1991,경기,17386.302,2866.962,2864.454,11654.886,79327361,6294496
1991,경남,15535.031,1654.670,1156.461,12723.900,46278237,2805601
1991,경북,10051.838,1066.022,794.569,8191.247,27589044,2732475
1991,광주,1670.014,489.347,405.442,775.225,11814152,1154456
1991,대구,4503.228,1026.243,776.214,2700.771,22882690,2332235
1991,대전,2023.889,480.588,470.706,1072.595,14649910,1083721
1991,부산,7685.775,1826.847,1558.358,4300.570,35523301,3816713
1991,서울,17060.163,5497.520,8123.789,3438.854,139296966,10461122
1991,세종,,,,,,
1991,울산,,,,,,829234
1991,인천,6295.568,957.749,591.291,4746.528,28916205,1979437
1991,전남,4825.759,833.993,517.383,3474.383,29137813,2395539
1991,전북,3894.762,755.959,554.834,2583.969,17888088,2022381
1991,제주,622.498,222.745,259.825,139.928,5529812,509537
1991,충남,3299.180,678.713,487.067,2133.400,19319295,1949365
1991,충북,4468.846,505.305,470.799,3492.742,15044395,1382888
1992,강원,5507.607,687.056,792.581,4027.970,18823604,1531591
1992,경기,19212.289,3257.209,3441.103,12513.977,83213769,6634393
1992,경남,17128.261,1895.099,1429.844,13803.318,50866079,2834597
1992,경북,11009.681,1211.038,957.871,8840.772,27773441,2728374
1992,광주,1895.916,566.644,490.280,838.992,12274018,1184604
1992,대구,4926.991,1159.779,927.015,2840.197,23217637,2370971
1992,대전,2230.216,568.444,584.160,1077.612,15517530,1133067
1992,부산,8066.136,2003.205,1802.477,4260.454,35643092,3829348
1992,서울,18370.162,5976.325,8983.466,3410.371,150753773,10445852
1992,세종,,,,,,
1992,울산,,,,,,865654
1992,인천,7210.104,1091.725,760.659,5357.720,29433757,2065278
1992,전남,5526.665,935.749,651.734,3939.182,31299565,2315133
1992,전북,4361.426,855.533,677.770,2828.123,19139603,1998601
1992,제주,709.782,249.619,307.734,152.429,6204297,510474
1992,충남,3988.782,761.067,576.116,2651.599,21292103,1908054
1992,충북,5099.960,577.277,560.055,3962.628,15973733,1391971
