year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
1990,GW,4526.254,567.183,603.319,3355.752,18279299.000,1561838.000
1990,GG,15756.859,2506.909,2457.304,10792.646,69166891.000,5972092.000
1990,GN,13489.898,1490.415,985.127,11014.356,39848523.000,2776273.000
1990,GB,9019.102,965.330,668.305,7385.467,25427954.000,2736033.000
1990,GJ,1562.328,425.688,359.245,777.395,10909096.000,1124968.000
1990,DG,4243.166,947.978,711.655,2583.533,22141545.000,2293038.000
1990,DJ,1847.100,411.672,388.993,1046.435,13258651.000,1035986.000
1990,PU,7341.267,1718.685,1380.134,4242.448,33374783.000,3803334.000
1990,SE,16027.052,5182.614,7387.008,3457.430,128022269.000,10473252.000
1990,SJ,,,,,,
1990,UL,,,,,,794065.000
1990,IC,5794.948,800.865,508.271,4485.812,24487160.000,1896801.000
1990,JN,4390.468,757.194,422.294,3210.980,25868226.000,2480439.000
1990,JB,3330.675,683.457,456.168,2191.050,16261164.000,2046776.000
1990,JJ,545.296,200.685,233.403,111.208,4953039.000,508746.000
1990,CN,2677.636,630.200,415.250,1632.186,18072575.000,1991931.000
1990,CB,3831.246,446.308,423.897,2961.041,13611652.000,1373711.000
1991,GW,5051.168,619.251,677.763,3754.154,18323230.000,1546504.000
1991,GG,17386.302,2866.962,2864.454,11654.886,79327361.000,6294496.000
1991,GN,15535.031,1654.670,1156.461,12723.900,46278237.000,2805601.000
1991,GB,10051.838,1066.022,794.569,8191.247,27589044.000,2732475.000
1991,GJ,1670.014,489.347,405.442,775.225,11814152.000,1154456.000
1991,DG,4503.228,1026.243,776.214,2700.771,22882690.000,2332235.000
1991,DJ,2023.889,480.588,470.706,1072.595,14649910.000,1083721.000
1991,PU,7685.775,1826.847,1558.358,4300.570,35523301.000,3816713.000
1991,SE,17060.163,5497.520,8123.789,3438.854,139296966.000,10461122.000
1991,SJ,,,,,,
1991,UL,,,,,,829234.000
1991,IC,6295.568,957.749,591.291,4746.528,28916205.000,1979437.000
1991,JN,4825.759,833.993,517.383,3474.383,29137813.000,2395539.000
1991,JB,3894.762,755.959,554.834,2583.969,17888088.000,2022381.000
1991,JJ,622.498,222.745,259.825,139.928,5529812.000,509537.000
1991,CN,3299.180,678.713,487.067,2133.400,19319295.000,1949365.000
1991,CB,4468.846,505.305,470.799,3492.742,15044395.000,1382888.000
1992,GW,5507.607,687.056,792.581,4027.970,18823604.000,1531591.000
1992,GG,19212.289,3257.209,3441.103,12513.977,83213769.000,6634393.000
1992,GN,17128.261,1895.099,1429.844,13803.318,50866079.000,2834597.000
1992,GB,11009.681,1211.038,957.871,8840.772,27773441.000,2728374.000
1992,GJ,1895.916,566.644,490.280,838.992,12274018.000,1184604.000
1992,DG,4926.991,1159.779,927.015,2840.197,23217637.000,2370971.000
1992,DJ,2230.216,568.444,584.160,1077.612,15517530.000,1133067.000
1992,PU,8066.136,2003.205,1802.477,4260.454,35643092.000,3829348.000
1992,SE,18370.162,5976.325,8983.466,3410.371,150753773.000,10445852.000
1992,SJ,,,,,,
1992,UL,,,,,,865654.000
1992,IC,7210.104,1091.725,760.659,5357.720,29433757.000,2065278.000
