date,code,site,area,totalpop,dometpop,lftpop,sftpop,dmax,dmin,dfpop,nfpop,dfmax,outside,inside,internal,dailydust,pmbaddummy,pmday,pmwarn,temp,tempspr,rainfall,humidity,daydummy,dailydust_1,dailydust_2,dailydust_3
2020-01-01,11680,강남구,동남권,709985.545 ,668659.640 ,18810.789 ,22515.116 ,731809.008 ,684724.317 ,721417.007 ,701820.214 ,298882.046 ,73767.300 ,113796.703 ,111318.043 ,23 ,0 ,0 ,0 ,-2 ,5 ,0 ,64 ,0 ,,,
2020-01-02,11680,강남구,동남권,930333.176 ,884843.636 ,24988.745 ,20500.796 ,1205960.089 ,683293.914 ,1152921.128 ,771341.782 ,779607.607 ,249510.804 ,139416.444 ,390680.360 ,43 ,1 ,3 ,0 ,1 ,1 ,0 ,65 ,0 ,23 ,,
2020-01-03,11680,강남구,동남권,951984.895 ,905914.082 ,25822.751 ,20248.062 ,1225708.886 ,709093.282 ,1168716.006 ,797176.958 ,792092.801 ,252169.115 ,139860.700 ,400062.986 ,45 ,1 ,2 ,0 ,0 ,0 ,0 ,57 ,0 ,43 ,23 ,
2020-01-04,11680,강남구,동남권,812731.375 ,771218.532 ,21691.007 ,19821.835 ,957695.627 ,708230.252 ,908595.539 ,744256.972 ,510622.340 ,165708.000 ,125231.114 ,219683.227 ,39 ,1 ,1 ,0 ,1 ,1 ,0 ,51 ,1 ,45 ,43 ,23 
2020-01-05,11680,강남구,동남권,749883.035 ,715164.700 ,18103.903 ,16614.433 ,835788.090 ,687077.798 ,806242.408 ,709626.340 ,401414.870 ,116429.221 ,123340.164 ,161645.485 ,34 ,0 ,0 ,0 ,1 ,2 ,0 ,46 ,1 ,39 ,45 ,43 
2020-01-06,11680,강남구,동남권,940566.439 ,898193.345 ,24632.856 ,17740.238 ,1224170.030 ,688984.674 ,1169854.090 ,776789.546 ,797010.795 ,258712.380 ,138180.988 ,400117.427 ,26 ,0 ,0 ,0 ,3 ,10 ,2 ,65 ,0 ,34 ,39 ,45 
2020-01-07,11680,강남구,동남권,949278.170 ,904997.294 ,25215.843 ,19065.032 ,1232113.454 ,706416.727 ,1174375.671 ,788494.240 ,799363.087 ,255761.118 ,139507.044 ,404094.925 ,3 ,0 ,0 ,0 ,6 ,40 ,46 ,95 ,0 ,26 ,34 ,39 
2020-01-08,11680,강남구,동남권,949608.486 ,905187.058 ,25605.651 ,18815.777 ,1233276.414 ,702360.909 ,1173363.353 ,789783.581 ,809248.276 ,258412.463 ,142119.076 ,408716.738 ,19 ,0 ,0 ,0 ,2 ,6 ,12 ,86 ,0 ,3 ,26 ,34 
2020-01-09,11680,강남구,동남권,954541.150 ,910914.537 ,26365.666 ,17260.947 ,1229348.236 ,709370.278 ,1175363.120 ,796811.171 ,806363.472 ,260307.463 ,140563.781 ,405492.229 ,40 ,1 ,3 ,0 ,-1 ,1 ,0 ,65 ,0 ,19 ,3 ,26 
2020-01-10,11680,강남구,동남권,956814.169 ,912941.462 ,25934.267 ,17938.440 ,1232750.532 ,714598.835 ,1174373.139 ,801414.905 ,804084.001 ,258303.294 ,139075.447 ,406705.259 ,47 ,1 ,2 ,0 ,-1 ,0 ,0 ,63 ,0 ,40 ,19 ,3 
