year,region,gdp,pop,gdp_cap
2019,JJ,19142277,659539,29.02372263
2020,JJ,19417247.92,676454,28.70446168
2021,JJ,20340339.78,686640,29.62300446
2022,JJ,21203765.87,696291,30.45244858
2023,JJ,22057239.6,705504,31.26451388
2024,JJ,22897223.04,714276,32.05654823
2025,JJ,23722132.91,722665,32.82590538
2026,JJ,24536523.51,730669,33.58090121
2027,JJ,25338357.79,738304,34.31968103
2028,JJ,26126468.42,745610,35.04039434
2029,JJ,26888144.66,752547,35.72952209
2030,JJ,27619776.72,759107,36.38456333
2031,JJ,28317215.02,765266,37.00310091
2032,JJ,28986725.74,771023,37.59515052
2033,JJ,29625639.53,776372,38.15907778
2034,JJ,30229647.44,781263,38.69330487
2035,JJ,30824633.38,785641,39.23501114
2036,JJ,31411177.89,789537,39.78430129
2037,JJ,31988296.44,792942,40.34128151
2038,JJ,32555946.44,795871,40.90605945
2039,JJ,33114887.33,798358,41.47874428
2040,JJ,33664465.26,800402,42.0594467
2041,JJ,34136205.41,801202.402,42.60621951
2042,JJ,34614556.06,802003.6044,43.16010036
2043,JJ,35099609.83,802805.608,43.72118167
2044,JJ,35591460.67,803608.4136,44.28955703
2045,JJ,36090203.8,804412.022,44.86532127
2046,JJ,36559809.54,805216.4341,45.40370513
2047,JJ,37035525.78,806021.6505,45.94854959
2048,JJ,37517432.04,806827.6721,46.49993218
2049,JJ,38005608.86,807634.4998,47.05793137
2050,JJ,38500137.85,808442.1343,47.62262655
2051,JJ,39001058.35,809249.6782,48.19409807
