region,temp,pop,income,energy
강원도,11.2,1506,14394, 633.1 
경기도,11.6,12126,16399," 5,621.7 "
경상남도,14,3278,15646," 1,143.8 "
경상북도,12.5,2661,15052," 1,141.1 "
광주,14.2,1504,15454, 613.2 
대구,15,2476,15320, 904.6 
대전,13.1,1545,16253, 662.3 
부산,15.3,3456,15651," 1,203.8 "
서울,12.5,9990,19525," 5,274.5 "
울산,14.8,1137,19782, 503.0 
인천,11.1,2830,14829," 1,267.4 "
전라남도,13.7,1784,14575, 641.9 
전라북도,12.7,1821,14628, 735.2 
제주도,16.3,570,14829, 163.7 
충청남도,12.1,2062,14892, 863.8 
충청북도,11.6,1565,14707, 709.1 
