year,temp,co2
1959,0 ,316 
1960,0 ,317 
1961,0 ,318 
1962,0 ,318 
1963,0 ,319 
1964,0 ,320 
1965,0 ,320 
1966,0 ,321 
1967,0 ,322 
1968,0 ,323 
1969,0 ,325 
1970,0 ,326 
1971,0 ,326 
1972,0 ,327 
1973,0 ,330 
1974,0 ,330 
1975,0 ,331 
1976,0 ,332 
1977,0 ,334 
1978,0 ,335 
1979,0 ,337 
1980,0 ,339 
1981,0 ,340 
1982,0 ,341 
1983,0 ,343 
1984,0 ,345 
1985,0 ,346 
1986,0 ,348 
1987,0 ,349 
1988,0 ,352 
1989,0 ,353 
1990,0 ,354 
1991,0 ,356 
1992,0 ,357 
1993,0 ,357 
1994,0 ,359 
1995,0 ,361 
1996,0 ,363 
1997,0 ,364 
1998,1 ,367 
1999,0 ,369 
2000,0 ,370 
2001,1 ,371 
2002,1 ,373 
2003,1 ,376 
2004,1 ,378 
2005,1 ,380 
2006,1 ,382 
2007,1 ,384 
2008,1 ,386 
2009,1 ,388 
2010,1 ,390 
2011,1 ,392 
2012,1 ,394 
2013,1 ,397 
2014,1 ,399 
2015,1 ,401 
2016,1 ,404 
2017,1 ,407 
2018,1 ,409 
2019,1 ,412 
