Country,GDP,Temp
?Burkina Faso,787,28.29
?Mali,887,28.25
?Kiribati,1657,28.2
?Djibouti,3252,28
?Tuvalu,4036,28
?Senegal,1452,27.85
?Mauritania,1678,27.65
?Maldives,10626,27.65
?Palau,15572,27.6
?Benin,1220,27.55
"?Gambia, The",776,27.5
?Marshall Islands,4038,27.4
?Ghana,2203,27.2
?Bahrain,23504,27.15
?Niger,555,27.15
?Qatar,64782,27.15
?Seychelles,17382,27.15
?Togo,899,27.15
?Somalia,105,27.05
?United Arab Emirates,43103,27
?Sri Lanka,3940,26.95
?Sudan,815,26.9
?Brunei,31086,26.85
?Cambodia,1644,26.8
?Nigeria,2361,26.8
?Saint Vincent and the Grenadines,7464,26.8
?Guinea-Bissau,688,26.75
?Samoa,4285,26.7
?Grenada,10818,26.65
?Chad,707,26.55
?Singapore,64103,26.45
?C?te d'Ivoire,2276,26.35
?Thailand,7785,26.3
?Sierra Leone,528,26.05
?Antigua and Barbuda,17113,26
?Barbados,18149,26
?Guyana,6610,26
?Indonesia,4136,25.85
?Micronesia,3640,25.85
?Philippines,3324,25.85
?Trinidad and Tobago,16637,25.75
?Guinea,967,25.7
?Suriname,6360,25.7
?Solomon Islands,1945,25.65
?Oman,15343,25.6
?Comoros,1370,25.55
?Eritrea,567,25.5
?Saint Lucia,11611,25.5
?Malaysia,11414,25.4
?Panama,15728,25.4
?Belize,4884,25.3
?Kuwait,31999,25.35
?Venezuela,4733,25.35
?Liberia,523,25.3
?East Timor,1561,25.25
?Papua New Guinea,2845,25.25
?Tonga,4865,25.25
?Cuba,9296,25.2
?Gabon,7773,25.05
?Bangladesh,1846,25
?Brazil,8755,24.95
?Jamaica,5369,24.95
?Central African Republic,468,24.9
?Haiti,715,24.9
?Vietnam,2715,24.45
?Nicaragua,1913,24.9
"?Bahamas, The",34864,24.85
?Costa Rica,12238,24.8
?Kenya,1817,24.75
?Saudi Arabia,23140,24.65
?Cameroon,1534,24.6
"?Congo, Republic of the",2304,24.55
?Dominican Republic,8282,24.55
?Equatorial Guinea,8130,24.55
?Colombia,6432,24.5
?Saint Kitts and Nevis,19896,24.5
?El Salvador,4187,24.45
?Fiji,6185,24.4
"?Congo, Democratic Republic of the",545,24
?Vanuatu,3023,23.95
?Yemen,855,23.85
?Mozambique,504,23.8
?S?o Tom? and Pr?ncipe,1961,23.75
?India,2116,23.65
?Paraguay,5406,23.55
?Honduras,2575,23.5
?Guatemala,4363,23.45
?Cape Verde,3604,23.3
?Laos,2625,22.8
?Uganda,737,22.8
?Madagascar,523,22.65
?Mauritius,11169,22.4
?Dominica,8111,22.35
?Tanzania,1084,22.35
?Ethiopia,828,22.2
?Egypt,3161,22.1
?Malawi,435,21.9
?Ecuador,6184,21.85
?Libya,4810,21.8
?Australia,54763,21.65
?Angola,2671,21.55
?Bolivia,3552,21.55
?Botswana,7961,21.5
?Iraq,5730,21.4
?Eswatini,4002,21.4
?Zambia,1292,21.4
?Mexico,9849,21
?Zimbabwe,1464,21
?Pakistan,1187,21
?Namibia,4957,20.95
?Burundi,260,20.8
?Peru,6978,20.6
?Israel,46376,20.2
?Malta,33752,20.2
?Cyprus,28285,19.45
?Jordan,4405,19.3
?Rwanda,820,18.85
?Algeria,3976,18.79
?South Africa,6001,18.75
?Syria,1194,18.75
?Uruguay,16190,18.55
?Iran,7282,18.25
?Morocco,3282,18.1
?Lebanon,7784,17.4
?Tunisia,3318,16.3
?Portugal,23350,15.15
?Turkmenistan,8124,15.1
?Argentina,10041,14.8
?Monaco,190532,14.55
?Greece,19604,14.44
?Italy,33090,13.45
?Spain,29816,13.3
?Myanmar,1421,13.05
?Afghanistan,470,12.6
?Uzbekistan,1756,12.05
?Azerbaijan,4782,11.95
?Lesotho,1158,11.85
?San Marino,47313,11.85
"?Korea, South",32143,11.5
?Albania,5303,11.4
?Japan,40063,11.15
?Croatia,14627,10.9
?France,40319,10.7
?Montenegro,8825,10.55
?Bulgaria,9703,10.55
?New Zealand,43264,10.55
?Serbia,7359,10.55
?Turkey,9127,9.9
?Bosnia and Herzegovina,6109,9.85
?North Macedonia,6093,9.8
?Hungary,16879,9.75
?Belgium,46198,9.55
?Moldova,2957,9.45
?Ireland,81637,9.3
?Netherlands,53053,9.25
?Slovenia,26062,8.9
?Romania,12914,8.8
?Luxembourg,115481,8.65
?United States,65134,8.55
?Germany,46232,8.5
?Chile,14896,8.45
?United Kingdom,41855,8.45
?Ukraine,3496,8.3
???Nepal,1074,8.1
?Poland,15727,7.85
?Andorra,40887,7.6
?Czech Republic,23452,7.55
?Bhutan,3361,7.4
?Armenia,4623,7.15
?China,10004,6.95
?Slovakia,19256,6.8
?Kazakhstan,9793,6.4
?Austria,49701,6.35
?Belarus,6674,6.15
?Lithuania,19795,6.2
?Georgia,4439,5.8
"?Korea, North",640,5.7
?Liechtenstein,179258,5.65
?Latvia,17885,5.6
??Switzerland,85135,5.5
?Estonia,23740,5.1
?Denmark,60657,2.7
?Sweden,52896,2.1
?Tajikistan,894,2
?Iceland,71345,1.75
?Finland,48678,1.7
?Kyrgyzstan,1318,1.55
?Norway,74986,1.5
