date,code,site,area,totalpop,dometpop,lftpop,sftpop,dmax,dmin,dfpop,nfpop,dfmax,outside,inside,internal,dailydust,pmbaddummy,pmday,pmwarn,temp,tempspr,rainfall,humidity,daydummy
2021-05-21,11680 ,강남구,동남권,868077.720900 ,841371.862400 ,21521.033200 ,5184.825400 ,1098506.002000 ,665804.262600 ,1054489.863000 ,734926.191200 ,699698.208100 ,213676.358600 ,133972.542600 ,352049.306900 ,7 ,0 ,0 ,0 ,16 ,256 ,7 ,87 ,0 
2021-05-20,11680 ,강남구,동남권,868220.733700 ,841435.620400 ,21890.394700 ,4894.718600 ,1111048.516000 ,652140.089000 ,1063589.515000 ,728671.604500 ,714948.703800 ,220018.574400 ,134041.486400 ,360888.643000 ,12 ,0 ,0 ,0 ,19 ,350 ,1 ,60 ,0 
2021-05-19,11680 ,강남구,동남권,716784.873600 ,693838.330700 ,17999.326000 ,4947.216900 ,786123.340400 ,658168.329600 ,764716.270200 ,682548.161700 ,391922.538100 ,101840.999000 ,120592.381000 ,169489.158100 ,18 ,0 ,0 ,0 ,20 ,396 ,0 ,52 ,0 
2021-05-18,11680 ,강남구,동남권,875606.563500 ,849166.362900 ,21932.484300 ,4507.716300 ,1112715.231000 ,663602.783400 ,1068427.548000 ,737877.288600 ,723813.128000 ,223801.173100 ,136020.907200 ,363991.047700 ,13 ,0 ,0 ,0 ,18 ,320 ,0 ,71 ,0 
2021-05-17,11680 ,강남구,동남권,867778.455300 ,841134.395000 ,21171.612200 ,5472.448100 ,1110339.278000 ,653487.816000 ,1065236.434000 ,726737.041900 ,711386.077700 ,220835.862100 ,133752.517400 ,356797.698200 ,4 ,0 ,0 ,0 ,15 ,234 ,3 ,93 ,0 
2021-05-16,11680 ,강남구,동남권,701214.353800 ,679958.000200 ,15145.480600 ,6110.873100 ,769099.704100 ,643427.949100 ,748935.465100 ,667127.845800 ,341160.299000 ,90365.459200 ,112727.302200 ,138067.537600 ,5 ,0 ,0 ,0 ,18 ,339 ,67 ,98 ,1 
2021-05-15,11680 ,강남구,동남권,750650.489900 ,726472.066800 ,18162.388600 ,6016.034500 ,867618.926900 ,652891.159300 ,834617.002100 ,690674.409800 ,451718.811700 ,135717.720100 ,118319.949500 ,197681.142100 ,37 ,1 ,1 ,0 ,22 ,488 ,15 ,80 ,1 
2021-05-14,11680 ,강남구,동남권,873357.951500 ,846389.198400 ,21910.235100 ,5058.518100 ,1103649.214000 ,667627.179800 ,1061127.990000 ,739236.495300 ,708854.991100 ,217637.071300 ,134816.194600 ,356401.725200 ,35 ,1 ,2 ,0 ,24 ,581 ,0 ,60 ,0 
2021-05-13,11680 ,강남구,동남권,877028.346400 ,849921.502800 ,21946.302300 ,5160.541300 ,1114303.519000 ,668358.716100 ,1068983.619000 ,739917.437400 ,722180.929300 ,222119.767300 ,136208.836500 ,363852.325500 ,24 ,0 ,0 ,0 ,23 ,524 ,0 ,54 ,0 
2021-05-12,11680 ,강남구,동남권,876382.475700 ,849442.201800 ,21918.188200 ,5022.085600 ,1115072.679000 ,665836.642900 ,1070365.803000 ,737822.956100 ,721700.650200 ,220781.093100 ,135797.322600 ,365122.234500 ,10 ,0 ,0 ,0 ,22 ,484 ,0 ,40 ,0 
